Number Objects, CPU Usage
1,3.59641192024689
2,3.59641192024689
3,3.59641192024689
4,3.59641192024689
5,4.514736388515242
6,4.514736388515242
7,4.514736388515242
8,4.514736388515242
9,6.654376610977818
10,6.654376610977818
11,6.654376610977818
12,6.654376610977818
13,6.654376610977818
14,5.015336993115785
15,5.015336993115785
16,5.015336993115785
17,5.015336993115785
18,5.920131459123907
19,5.920131459123907
20,5.920131459123907
21,5.920131459123907
22,5.925801093079254
23,5.925801093079254
24,5.925801093079254
25,5.925801093079254
26,5.925801093079254
27,4.445666344772677
28,4.445666344772677
29,4.445666344772677
30,4.445666344772677
31,4.445666344772677
32,5.031947821234098
33,5.031947821234098
34,5.031947821234098
35,5.031947821234098
36,5.5685178703800196
37,5.5685178703800196
38,5.5685178703800196
39,5.5685178703800196
40,5.5685178703800196
41,4.127785495697064
42,4.127785495697064
43,4.127785495697064
44,4.127785495697064
45,4.127785495697064
46,4.907882519519045
47,4.907882519519045
48,4.907882519519045
49,4.907882519519045
50,4.907882519519045
51,3.89078394852917
52,3.89078394852917
53,3.89078394852917
54,3.89078394852917
55,4.343139746013373
56,4.343139746013373
57,4.343139746013373
58,4.343139746013373
59,4.343139746013373
60,5.059654226281537
61,5.059654226281537
62,5.059654226281537
63,5.059654226281537
64,5.059654226281537
65,4.853523862667167
66,4.853523862667167
67,4.853523862667167
68,4.853523862667167
69,4.780262741896442
70,4.780262741896442
71,4.780262741896442
72,4.780262741896442
73,4.780262741896442
74,6.2208932020705605
75,6.2208932020705605
76,6.2208932020705605
77,6.2208932020705605
78,6.2208932020705605
79,4.069372401537268
80,4.069372401537268
81,4.069372401537268
82,4.069372401537268
83,4.069372401537268
84,4.148965593617445
85,4.148965593617445
86,4.148965593617445
87,4.148965593617445
88,4.148965593617445
89,4.570599423949438
90,4.570599423949438
91,4.570599423949438
92,4.570599423949438
93,4.570599423949438
94,3.882642021332922
95,3.882642021332922
96,3.882642021332922
97,3.882642021332922
98,3.882642021332922
99,3.764613930107563
100,3.764613930107563
