Number Objects ,CPU Usage
1,0.0
2,17.1133498067541
3,17.441151890800192
4,13.340972499003586
5,19.761305469774527
6,13.976644000506822
7,16.422050002654068
8,14.287110902549664
9,15.24076583358426
10,20.517351331243024
11,17.35668789808917
12,16.593701996927805
13,10.687718038169505
14,15.737245173120485
15,20.612698940216386
16,18.796213537011457
17,13.891591780665102
18,15.793873729266988
19,13.24633938302611
20,15.595594806287128
21,13.739238889057889
22,18.058011548177554
23,14.25287356321839
24,19.325176685158446
25,13.944352005916066
26,16.17163875319842
27,15.188297801243067
28,14.617327726873352
29,19.62601185544012
30,14.304729094895082
31,21.226944167497507
32,15.16494337764648
33,18.553507992895206
34,13.443396226415095
35,10.585730972580844
36,14.06347110006215
37,12.862228501773048
38,11.98740157480315
39,14.558058925476603
40,16.797150176112712
41,11.897748922089642
42,12.051684579157108
43,14.617574001241978
44,9.55434157561817
45,5.25035912169095
46,8.768312199926136
47,6.30998545807077
48,14.111775484617612
49,13.607903957723016
50,13.5079989154013
51,14.294060003015227
52,17.161249588228834
53,13.20514322535294
54,12.848514706955697
55,9.763624020243165
56,7.770724826388889
57,12.304000305950742
58,20.493662334319907
59,11.464602189262191
60,14.767569797826985
61,15.930067247371035
62,14.00145092755726
63,15.636186137325089
64,11.765721014590834
65,18.711369016307206
66,13.526570048309178
67,11.194692091794618
68,14.448377745568067
69,12.204529826370981
70,13.516292820875378
71,14.137008353637311
72,13.414133114215284
73,9.043028828957722
74,9.78269971529057
75,10.277494308815449
76,14.701718103722557
77,12.67273258077073
78,13.239816293929712
79,16.61217303822938
80,13.71491715376069
81,16.43484458340997
82,13.908022250228152
83,11.140957707781375
84,8.496621621621623
85,9.923281580290109
86,14.808179627783316
87,9.794747577766445
88,7.398170093148873
89,15.045217867909017
90,14.598520772878476
91,13.627447246133922
92,14.145319418089816
93,18.40328658153653
94,11.58958049928306
95,8.989894264059137
96,10.639653414882773
97,9.213559322033898
98,15.691826748822038
99,11.32267339925661
100,16.978917105893625
