Number Objects,CPU Usage
1,18.208542279093894
2,15.780398037077425
3,17.210391971747264
4,12.103262767004159
5,19.917017691659648
6,12.536259541984732
7,16.376407034040053
8,14.47171702958455
9,15.190415741034593
10,15.085370404926293
11,13.456109365004313
12,13.522117324603144
13,13.809537331515978
14,19.070030120481928
15,15.147449657569254
16,13.848834734489731
17,16.49777324879227
18,12.13947112913359
19,10.407752153375938
20,9.635132679025808
21,17.423324666115118
22,21.229372449281364
23,18.758205945793865
24,12.952299739784795
25,19.185307099573574
26,16.959157626037012
27,18.208845928529584
28,16.74489691512764
29,13.510604113110539
30,17.073836235341897
31,14.114443249058633
32,14.446041574524546
33,13.757693948442927
34,15.088615454083648
35,13.469077131969689
36,15.211382113821138
37,15.57084607543323
38,15.4746815877334
39,11.48771887159533
40,11.885440655042585
41,14.924496644295301
42,9.629756306113723
43,15.107905890493903
44,7.88773931541288
45,4.923678332092331
46,5.503550570745952
47,10.11151134273452
48,11.100266900370475
49,15.138655462184875
50,12.395862651280607
51,12.584213673510067
52,14.280245953434111
53,10.661790347328777
54,15.14088765267868
55,7.669168170735569
56,13.0225044059831
57,15.866095812471553
58,14.087863438758824
59,12.665919201417772
60,14.51931209472794
61,18.446595083356883
62,15.558431638801665
63,12.95337049153843
64,18.40095708394848
65,15.124569878242456
66,13.948067359855335
67,10.80577683534873
68,12.608829779941043
69,8.267273538236964
70,13.189988000208691
71,7.20715234720992
72,11.953324067639565
73,9.044619478902863
74,12.224539412053351
75,17.25562326595323
76,6.851038240636198
77,14.042598358335692
78,13.966798313140103
79,13.32054640718563
80,12.704107135418836
81,11.694772163802684
82,12.503263565554153
83,7.366650453955901
84,12.276746242263483
85,11.141289091011172
86,12.87328565108391
87,12.828779366700715
88,7.4102626290624345
89,13.521278865127192
90,13.710555906950594
91,10.376950591564798
92,13.846302691116932
93,15.956854785910698
94,11.758586133097802
95,5.366832466651593
96,5.786462114554277
97,17.563070900391477
98,15.071859474804828
99,15.989374913757418
100,15.738809686857996
